enc_name,caption_type,participant,roi,rs
Kalm Embedding,Phi-4,4,bodies,0.2047772461971159
Kalm Embedding,Phi-4,5,bodies,0.2913423936206499
Kalm Embedding,Phi-4,6,bodies,0.1729804478058809
Kalm Embedding,Phi-4,7,bodies,0.166874051604122
Kalm Embedding,Phi-4,8,bodies,0.0860510476950323
Kalm Embedding,Pixtral,1,all,0.2579441482563466
Kalm Embedding,Pixtral,2,all,0.244539166022646
Kalm Embedding,Pixtral,3,all,0.1345394149423866
Kalm Embedding,Pixtral,4,all,0.1653256385019544
Kalm Embedding,Pixtral,5,all,0.2687762284716414
Kalm Embedding,Pixtral,6,all,0.1639230910741943
Kalm Embedding,Pixtral,7,all,0.173394177977232
Kalm Embedding,Pixtral,8,all,0.0446348804245158
Kalm Embedding,Pixtral,1,places,0.1862198316129531
Kalm Embedding,Pixtral,2,places,0.1841833862957105
Kalm Embedding,Pixtral,3,places,0.1403023851786872
Kalm Embedding,Pixtral,4,places,0.1545600434761213
Kalm Embedding,Pixtral,5,places,0.2019905632395164
Kalm Embedding,Pixtral,6,places,0.1553418445101667
Kalm Embedding,Pixtral,7,places,0.14246190342977
Kalm Embedding,Pixtral,8,places,0.0523906279763001
Kalm Embedding,Pixtral,1,faces,0.1393871648365684
Kalm Embedding,Pixtral,2,faces,0.0934820015222082
Kalm Embedding,Pixtral,3,faces,0.0509788490315173
Kalm Embedding,Pixtral,4,faces,0.0587033541321121
Kalm Embedding,Pixtral,5,faces,0.1948128088972397
Kalm Embedding,Pixtral,6,faces,0.1185142184038159
Kalm Embedding,Pixtral,7,faces,0.0864029160624852
Kalm Embedding,Pixtral,8,faces,0.0550922927127588
Kalm Embedding,Pixtral,1,bodies,0.2387889369234081
Kalm Embedding,Pixtral,2,bodies,0.1988383791378188
Kalm Embedding,Pixtral,3,bodies,0.1046229255402924
Kalm Embedding,Pixtral,4,bodies,0.1491903373333102
Kalm Embedding,Pixtral,5,bodies,0.2578850421391269
Kalm Embedding,Pixtral,6,bodies,0.1389117326435621
Kalm Embedding,Pixtral,7,bodies,0.1767147367816644
Kalm Embedding,Pixtral,8,bodies,0.0516011893827001
Kalm Embedding,Qwen2.5-VL,1,all,0.2505587178343665
Kalm Embedding,Qwen2.5-VL,2,all,0.2344723797261712
Kalm Embedding,Qwen2.5-VL,3,all,0.1075797590035114
Kalm Embedding,Qwen2.5-VL,4,all,0.1699043614124721
Kalm Embedding,Qwen2.5-VL,5,all,0.2785078896578109
Kalm Embedding,Qwen2.5-VL,6,all,0.1475347851426802
Kalm Embedding,Qwen2.5-VL,7,all,0.162283049879065
Kalm Embedding,Qwen2.5-VL,8,all,0.040633637446332
Kalm Embedding,Qwen2.5-VL,1,places,0.1285754653899907
Kalm Embedding,Qwen2.5-VL,2,places,0.1408448072058715
Kalm Embedding,Qwen2.5-VL,3,places,0.0748291404769507
Kalm Embedding,Qwen2.5-VL,4,places,0.1069632104310557
Kalm Embedding,Qwen2.5-VL,5,places,0.1505288167043528
Kalm Embedding,Qwen2.5-VL,6,places,0.0944749728744937
Kalm Embedding,Qwen2.5-VL,7,places,0.095884530908982
Kalm Embedding,Qwen2.5-VL,8,places,0.0056206511236742
Kalm Embedding,Qwen2.5-VL,1,faces,0.1365840230119865
Kalm Embedding,Qwen2.5-VL,2,faces,0.0981514835836333
Kalm Embedding,Qwen2.5-VL,3,faces,0.0479395984750292
Kalm Embedding,Qwen2.5-VL,4,faces,0.0571262022114111
Kalm Embedding,Qwen2.5-VL,5,faces,0.2086491695775865
Kalm Embedding,Qwen2.5-VL,6,faces,0.1244123228641384
Kalm Embedding,Qwen2.5-VL,7,faces,0.0891224274025908
Kalm Embedding,Qwen2.5-VL,8,faces,0.0190998676502957
Kalm Embedding,Qwen2.5-VL,1,bodies,0.2648385804791692
Kalm Embedding,Qwen2.5-VL,2,bodies,0.2233444554444339
Kalm Embedding,Qwen2.5-VL,3,bodies,0.1133644098151252
Kalm Embedding,Qwen2.5-VL,4,bodies,0.1791953968379286
Kalm Embedding,Qwen2.5-VL,5,bodies,0.2867025034212908
Kalm Embedding,Qwen2.5-VL,6,bodies,0.1435624830462544
Kalm Embedding,Qwen2.5-VL,7,bodies,0.1880681795582706
Kalm Embedding,Qwen2.5-VL,8,bodies,0.0597840683360095
Kalm Embedding,Molmo,1,all,0.2529738958190889
Kalm Embedding,Molmo,2,all,0.2456649220579439
Kalm Embedding,Molmo,3,all,0.1448695654459048
Kalm Embedding,Molmo,4,all,0.1843800699663189
Kalm Embedding,Molmo,5,all,0.2831997486566059
Kalm Embedding,Molmo,6,all,0.1649037755231426
Kalm Embedding,Molmo,7,all,0.1715762272830074
Kalm Embedding,Molmo,8,all,0.0690239623339626
Kalm Embedding,Molmo,1,places,0.1886483380934306
Kalm Embedding,Molmo,2,places,0.1970523108400659
Kalm Embedding,Molmo,3,places,0.1629605566012117
Kalm Embedding,Molmo,4,places,0.1526756385596291
Kalm Embedding,Molmo,5,places,0.2224168573169165
Kalm Embedding,Molmo,6,places,0.1740512077882914
Kalm Embedding,Molmo,7,places,0.1487616366340429
Kalm Embedding,Molmo,8,places,0.0649950736812312
Kalm Embedding,Molmo,1,faces,0.1490441773869406
Kalm Embedding,Molmo,2,faces,0.0846486158665983
Kalm Embedding,Molmo,3,faces,0.045422435595842
Kalm Embedding,Molmo,4,faces,0.0748613670613212
Kalm Embedding,Molmo,5,faces,0.1625450463139432
Kalm Embedding,Molmo,6,faces,0.1076679164389882
Kalm Embedding,Molmo,7,faces,0.0920732197438691
Kalm Embedding,Molmo,8,faces,0.0715794959498133
Kalm Embedding,Molmo,1,bodies,0.2377387429328012
Kalm Embedding,Molmo,2,bodies,0.1797138883867251
Kalm Embedding,Molmo,3,bodies,0.1093602948966409
Kalm Embedding,Molmo,4,bodies,0.1840277312951961
Kalm Embedding,Molmo,5,bodies,0.2591852862346797
Kalm Embedding,Molmo,6,bodies,0.13319339084336
Kalm Embedding,Molmo,7,bodies,0.1672043090762752
Kalm Embedding,Molmo,8,bodies,0.0959393254787328
BERT,MS COCO,1,all,0.1324198707499103
BERT,MS COCO,2,all,0.1052465371906231
BERT,MS COCO,3,all,0.0745693355993863
BERT,MS COCO,4,all,0.0730827180347914
BERT,MS COCO,5,all,0.1382715820265633
BERT,MS COCO,6,all,0.0627367347942226
BERT,MS COCO,7,all,0.0609688220076184
BERT,MS COCO,8,all,0.0503143317091682
BERT,MS COCO,1,places,0.0500621195863191
BERT,MS COCO,2,places,0.04057096325999
BERT,MS COCO,3,places,0.0282405303478608
BERT,MS COCO,4,places,0.0163023940254844
BERT,MS COCO,5,places,0.0548428925993394
BERT,MS COCO,6,places,0.0320480901009066
BERT,MS COCO,7,places,0.0133542118011285
BERT,MS COCO,8,places,0.0283898607647814
BERT,MS COCO,1,faces,0.1102694701475061
BERT,MS COCO,2,faces,0.0614702499417325
BERT,MS COCO,3,faces,0.0902349504295524
BERT,MS COCO,4,faces,0.0545740257598263
BERT,MS COCO,5,faces,0.1540934475621629
BERT,MS COCO,6,faces,0.0695731089340529
BERT,MS COCO,7,faces,0.0670180678694527
BERT,MS COCO,8,faces,0.0499809750306193
BERT,MS COCO,1,bodies,0.1498030709630875
BERT,MS COCO,2,bodies,0.1373851532191218
BERT,MS COCO,3,bodies,0.1093398675822643
BERT,MS COCO,4,bodies,0.098913249973268
BERT,MS COCO,5,bodies,0.1434189236623923
BERT,MS COCO,6,bodies,0.0842527060835456
BERT,MS COCO,7,bodies,0.0988455753734943
BERT,MS COCO,8,bodies,0.0444306595271076
BERT,LLaVA-OV,1,all,0.1403833514624564
BERT,LLaVA-OV,2,all,0.105864898285724
BERT,LLaVA-OV,3,all,0.0939103846363308
BERT,LLaVA-OV,4,all,0.0914541946768339
BERT,LLaVA-OV,5,all,0.1711239221978323
BERT,LLaVA-OV,6,all,0.0852982305278648
BERT,LLaVA-OV,7,all,0.0822290041586556
BERT,LLaVA-OV,8,all,0.0462480658419045
BERT,LLaVA-OV,1,places,0.0624862727470938
BERT,LLaVA-OV,2,places,0.0294239773980105
BERT,LLaVA-OV,3,places,0.0311453255979584
BERT,LLaVA-OV,4,places,0.0331207559614511
BERT,LLaVA-OV,5,places,0.046290891390983
BERT,LLaVA-OV,6,places,0.0300663757134168
BERT,LLaVA-OV,7,places,0.0245582545065914
BERT,LLaVA-OV,8,places,0.0328310820454017
BERT,LLaVA-OV,1,faces,0.1490553653737151
BERT,LLaVA-OV,2,faces,0.0831729155904108
BERT,LLaVA-OV,3,faces,0.1046103779204817
BERT,LLaVA-OV,4,faces,0.06378282411035
BERT,LLaVA-OV,5,faces,0.196545463500818
BERT,LLaVA-OV,6,faces,0.1218545066062813
BERT,LLaVA-OV,7,faces,0.0903498079748576
BERT,LLaVA-OV,8,faces,0.0674607197183679
BERT,LLaVA-OV,1,bodies,0.2101233244657573
BERT,LLaVA-OV,2,bodies,0.2186353632435746
BERT,LLaVA-OV,3,bodies,0.1396363718911988
BERT,LLaVA-OV,4,bodies,0.1222127801833901
BERT,LLaVA-OV,5,bodies,0.2039950105236769
BERT,LLaVA-OV,6,bodies,0.1289014835360565
BERT,LLaVA-OV,7,bodies,0.1217305944220884
BERT,LLaVA-OV,8,bodies,0.0835830280590362
BERT,Phi-4,1,all,0.152486002982192
BERT,Phi-4,2,all,0.1300402996060461
BERT,Phi-4,3,all,0.0952683747474971
BERT,Phi-4,4,all,0.1259355212013161
BERT,Phi-4,5,all,0.1705000162609425
BERT,Phi-4,6,all,0.0918970970676473
BERT,Phi-4,7,all,0.1001887162916954
BERT,Phi-4,8,all,0.0375956730390187
BERT,Phi-4,1,places,0.0212646062427876
BERT,Phi-4,2,places,0.0232305445936477
BERT,Phi-4,3,places,-0.0063153231342697
BERT,Phi-4,4,places,-0.0185654369335599
BERT,Phi-4,5,places,-0.0055300811307528
BERT,Phi-4,6,places,-0.0044033354881134
BERT,Phi-4,7,places,0.0175700069476477
BERT,Phi-4,8,places,-0.0259319734243151
BERT,Phi-4,1,faces,0.2081866531846915
BERT,Phi-4,2,faces,0.1270500415081406
BERT,Phi-4,3,faces,0.1390859013672619
BERT,Phi-4,4,faces,0.1077540936486475
BERT,Phi-4,5,faces,0.2673165273445612
BERT,Phi-4,6,faces,0.1691408025997114
BERT,Phi-4,7,faces,0.1415375439741664
BERT,Phi-4,8,faces,0.0926626810416833
BERT,Phi-4,1,bodies,0.2820505819552933
BERT,Phi-4,2,bodies,0.2691495009901679
BERT,Phi-4,3,bodies,0.191821213523416
BERT,Phi-4,4,bodies,0.1955928429809017
BERT,Phi-4,5,bodies,0.2448808569958163
BERT,Phi-4,6,bodies,0.1674458494618999
BERT,Phi-4,7,bodies,0.1716454995355115
BERT,Phi-4,8,bodies,0.1038552915890667
BERT,Pixtral,1,all,0.2050050313682593
BERT,Pixtral,2,all,0.1599727240465175
BERT,Pixtral,3,all,0.0985097406072477
BERT,Pixtral,4,all,0.1230252434187228
BERT,Pixtral,5,all,0.1990491157032956
BERT,Pixtral,6,all,0.1146789083767044
BERT,Pixtral,7,all,0.1417217575003084
BERT,Pixtral,8,all,0.053766688080181
BERT,Pixtral,1,places,0.0995938988527655
BERT,Pixtral,2,places,0.0963542585346351
BERT,Pixtral,3,places,0.0460155377733762
BERT,Pixtral,4,places,0.0490219991208863
BERT,Pixtral,5,places,0.0626020007210859
BERT,Pixtral,6,places,0.0658124492883582
BERT,Pixtral,7,places,0.0921759127397009
BERT,Pixtral,8,places,-0.0014766413853087
BERT,Pixtral,1,faces,0.1629538151333487
BERT,Pixtral,2,faces,0.1253057228617682
BERT,Pixtral,3,faces,0.1058324592590735
BERT,Pixtral,4,faces,0.0913089218493114
BERT,Pixtral,5,faces,0.2326033879155904
BERT,Pixtral,6,faces,0.1412451825814185
BERT,Pixtral,7,faces,0.1515914787331595
BERT,Pixtral,8,faces,0.0741658088740263
BERT,Pixtral,1,bodies,0.238993988512375
BERT,Pixtral,2,bodies,0.2496689832083647
BERT,Pixtral,3,bodies,0.153911490209353
BERT,Pixtral,4,bodies,0.1623546813750263
BERT,Pixtral,5,bodies,0.2201490179187766
BERT,Pixtral,6,bodies,0.1436484186120538
BERT,Pixtral,7,bodies,0.1903652843802379
BERT,Pixtral,8,bodies,0.0855674459328955
BERT,Qwen2.5-VL,1,all,0.186029612823203
BERT,Qwen2.5-VL,2,all,0.1362934102871561
BERT,Qwen2.5-VL,3,all,0.1026063557408538
BERT,Qwen2.5-VL,4,all,0.1209420321273318
BERT,Qwen2.5-VL,5,all,0.1740475589191992
BERT,Qwen2.5-VL,6,all,0.1024691257218926
BERT,Qwen2.5-VL,7,all,0.1264066845733949
BERT,Qwen2.5-VL,8,all,0.0509541821257401
BERT,Qwen2.5-VL,1,places,0.1194914140424699
BERT,Qwen2.5-VL,2,places,0.1077279177235085
BERT,Qwen2.5-VL,3,places,0.0742508373980254
BERT,Qwen2.5-VL,4,places,0.0690636377460558
BERT,Qwen2.5-VL,5,places,0.0782277680943914
BERT,Qwen2.5-VL,6,places,0.0761672009795884
BERT,Qwen2.5-VL,7,places,0.1197076518598846
BERT,Qwen2.5-VL,8,places,0.02687160793876
BERT,Qwen2.5-VL,1,faces,0.1540177564719075
BERT,Qwen2.5-VL,2,faces,0.0412498829221227
BERT,Qwen2.5-VL,3,faces,0.0907995976522503
BERT,Qwen2.5-VL,4,faces,0.0831099077999631
BERT,Qwen2.5-VL,5,faces,0.1663572166324235
BERT,Qwen2.5-VL,6,faces,0.1058984420948024
BERT,Qwen2.5-VL,7,faces,0.0905693054928003
BERT,Qwen2.5-VL,8,faces,0.0516284561944176
BERT,Qwen2.5-VL,1,bodies,0.2166126114062106
BERT,Qwen2.5-VL,2,bodies,0.1751652574832479
BERT,Qwen2.5-VL,3,bodies,0.1196153732703934
BERT,Qwen2.5-VL,4,bodies,0.1487948121075585
BERT,Qwen2.5-VL,5,bodies,0.1818920934333243
BERT,Qwen2.5-VL,6,bodies,0.1161736432207527
BERT,Qwen2.5-VL,7,bodies,0.1342099048128976
BERT,Qwen2.5-VL,8,bodies,0.0594484086144615
BERT,Molmo,1,all,0.183805417358454
BERT,Molmo,2,all,0.1705428108547721
BERT,Molmo,3,all,0.1035620737186104
BERT,Molmo,4,all,0.1143997208739036
BERT,Molmo,5,all,0.1979987367799131
BERT,Molmo,6,all,0.1169499987663225
BERT,Molmo,7,all,0.1270380180934337
BERT,Molmo,8,all,0.0613093416609634
BERT,Molmo,1,places,0.0957602112703826
BERT,Molmo,2,places,0.106761243529955
BERT,Molmo,3,places,0.0463992033574923
BERT,Molmo,4,places,0.042660922146899
BERT,Molmo,5,places,0.0711583276044429
BERT,Molmo,6,places,0.0653357249552738
BERT,Molmo,7,places,0.0575719088939715
BERT,Molmo,8,places,0.0261306661449501
BERT,Molmo,1,faces,0.1551884433811638
BERT,Molmo,2,faces,0.110501829471353
BERT,Molmo,3,faces,0.0984462033195361
BERT,Molmo,4,faces,0.0846101782606183
BERT,Molmo,5,faces,0.2101482847341873
BERT,Molmo,6,faces,0.120599649036183
BERT,Molmo,7,faces,0.1143958550362534
BERT,Molmo,8,faces,0.0713973294093435
BERT,Molmo,1,bodies,0.2266714276847712
BERT,Molmo,2,bodies,0.2243220628044475
BERT,Molmo,3,bodies,0.135235976889228
BERT,Molmo,4,bodies,0.1464229897804913
BERT,Molmo,5,bodies,0.2288567460812344
BERT,Molmo,6,bodies,0.1384427721671463
BERT,Molmo,7,bodies,0.1535426635952957
BERT,Molmo,8,bodies,0.0914149220603779
Llama3,MS COCO,1,all,0.0105411568315851
Llama3,MS COCO,2,all,0.0135452963912112
Llama3,MS COCO,3,all,0.0322865518690107
Llama3,MS COCO,4,all,0.0168107220007725
Llama3,MS COCO,5,all,0.0369765945189079
Llama3,MS COCO,6,all,0.0358091966305675
Llama3,MS COCO,7,all,0.0428265699774776
Llama3,MS COCO,8,all,-0.001908673583488
Llama3,MS COCO,1,places,-0.018826457492437
Llama3,MS COCO,2,places,-0.0212023014316982
Llama3,MS COCO,3,places,0.0182342192642049
Llama3,MS COCO,4,places,-0.0195613630265391
Llama3,MS COCO,5,places,0.0227918432299865
Llama3,MS COCO,6,places,-0.004102646273985
Llama3,MS COCO,7,places,0.0257184445130799
Llama3,MS COCO,8,places,-0.0025107526403968
Llama3,MS COCO,1,faces,0.0254612741687692
Llama3,MS COCO,2,faces,0.0311048408373431
Llama3,MS COCO,3,faces,0.056784207970209
Llama3,MS COCO,4,faces,0.0312350287815633
Llama3,MS COCO,5,faces,0.0617477052535319
Llama3,MS COCO,6,faces,0.0502185534189672
Llama3,MS COCO,7,faces,0.0501507955919648
Llama3,MS COCO,8,faces,0.0172585205074652
Llama3,MS COCO,1,bodies,0.0405125557135771
Llama3,MS COCO,2,bodies,0.0591830086277944
Llama3,MS COCO,3,bodies,0.0622078296888428
Llama3,MS COCO,4,bodies,0.036477001607732
Llama3,MS COCO,5,bodies,0.0526158530262132
Llama3,MS COCO,6,bodies,0.0558670184820337
Llama3,MS COCO,7,bodies,0.0514759113772978
Llama3,MS COCO,8,bodies,0.0067795850736854
Llama3,LLaVA-OV,1,all,0.149575519067644
Llama3,LLaVA-OV,2,all,0.1144311126662665
Llama3,LLaVA-OV,3,all,0.0805173916033674
Llama3,LLaVA-OV,4,all,0.0931205537356966
Llama3,LLaVA-OV,5,all,0.1493244158554156
Llama3,LLaVA-OV,6,all,0.1001043462526253
